formula,formation energy,Mpid,SpaceGroup
Rb2GeF6,-3.04,mp-13954,P6₃mc
K2GeF6,-3.04,mp-7825,P3m1
Y(MnO3),-3.04,mp-19385,P6₃cm
Ho(MnO3),-3.07,mp-19056,P6₃cm
Ba2Mn(Si2O7)Cl,-3.08,mp-558848,P4bm
Er(MnO3),-3.08,mp-19217,P6₃cm
La(GaO3),-3.09,mp-1078871,R3c
Ba(B2O4),-3.1,mp-5730,R3c
BeO,-3.1,mp-2542,P6₃mc
Tm(MnO3),-3.1,mp-554211,P6₃cm
K2(NbO)2(Si4O12),-3.11,mp-560407,P4bm
LiCa(PO4),-3.11,mp-16804,P31c
LuMnO3,-3.11,mp-18808,P6₃cm
Al(PO4),-3.11,mp-545974,P6₃cm
Lu(MnO3),-3.11,mp-18808,P6₃cm
Ba2Na(Nb5O15),-3.12,mp-15983,P4bm
LaCaGaO4,-3.12,mp-1227061,I4mm
Na4Zr2(SiO4)3,-3.12,mp-555472,R3c
Zr4O5N2,-3.13,mp-758272,I4cm
Li(TaO3),-3.13,mp-3666,R3c
LiMn(VF6),-3.14,mp-1188440,P4₂nm
YGaO3,-3.14,mp-17853,P6₃cm
Ca9Fe(PO4)7,-3.17,mp-554104,R3c
KAl(SiO4),-3.19,mp-9480,P31c
Rb(AlSiO4),-3.19,mp-6434,Pna2_1
Rb2(TiSi6O15),-3.19,mp-18582,C1c1
K2(TiSi6O15),-3.19,mp-17617,C1c1
Pb5(AlF6)3F,-3.21,mp-541732,I4cm
Ba2(VO)(Si2O7),-3.21,mp-19179,P4bm
Ba4LiNb3O12,-3.21,mp-18274,P6₃mc
Ba3(BO3)(PO4),-3.21,mp-554479,P6₃mc
Ca9In(PO4)7,-3.23,mp-555661,R3c
Ba6(Ti2Nb8O30),-3.27,mp-1228388,P1c1
Ba3Sc(BO3)3,-3.28,mp-14972,P6₃mc
Sr2(Nb2O7),-3.3,mp-15590,Pna2_1
Ba3Y(BO3)3,-3.3,mp-6310,P6₃cm
Ca2(Nb2O7),-3.3,mp-560040,Pna2_1
Ba3Ho(BO3)3,-3.31,mp-14384,P6₃cm
BaMg(BO3)F,-3.32,mp-1198065,C1c1
MgBeAl4O8,-3.32,mp-554364,P6₃mc
Ba3Tm(BO3)3,-3.32,mp-14385,P6₃cm
Ba3Lu(BO3)3,-3.32,mp-14386,P6₃cm
BaMg(BO3)F,-3.32,mp-1198065,C1C1
LiUO3,-3.35,mp-8007,R3c
Mg3BeAl8O16,-3.35,mp-554018,P6₃mc
Rb5(Nb3OF18),-3.37,mp-540995,I4cm
Ba4LiTa3O12,-3.37,mp-16792,P6₃mc
Er2Sr3(BO3)4,-3.37,mp-13960,Pna2_1
LaCa4O(BO3)3,-3.38,mp-6076,C1m1
Ca3(SiO4)O,-3.38,mp-37657,P6₃mc
Sr2(TiO)(Si2O7),-3.43,mp-1192641,P4bm
Ca3La3(BO3)5,-3.43,mp-6709,P6₃mc
K2(SiF6),-3.43,mp-13002,P6₃mc
Ca3La3(BO3)5,-3.43,mp-6709,P6₃mc
Ba2(TiO)(Si2O7),-3.44,mp-6081,P4bm
K2Li(AlF6),-3.47,mp-556996,P3M1
Ba(TiO3),-3.49,mp-5020,R3m
Ba3Sr4(BO3)3F5,-3.51,mp-1182538,P6₃mc
UOF4,-3.66,mp-559734,R3m
CsTi8F33,-3.7,mp-1197107,P31c
UF3,-3.74,mp-18299,P6₃cm
Sr(HfO3),-3.78,mp-3378,Pnma
La2(Ti2O7),-3.78,mp-12192,Pna2_1
PrZr3F15,-4.11,mp-28781,R3m
LaF3,-4.49,mp-334,P6₃cm
CdInGaS4,-2.201,mp-630773,P3m1
H2SO4(H2O)8,-1.35,mp-31373,C1C1
NaAg(S2O3)(H2O),-1.36,mp-1196131,P1c1
(C(NH2)3)Al(SO4)2(H2O)6,-1.36,mp-721813,P31m
CdO,-1.36,mp-13119,P6₃mc
K2H(IO3)2Cl,-1.36,mp-733853,Pca2_1
BN,-1.37,mp-2653,P6₃mc
Cu(SO4)(H2O)3,-1.38,mp-707170,C1C1
Rb(IO3),-1.38,mp-27193,R3m
TaS2,-1.38,mp-10014,R3m
K(IO3),-1.38,mp-552729,R3m
Rb2Nd(NO3)5(H2O)4,-1.39,mp-1205029,C1c1
Rb2Pr(NO3)5(H2O)4,-1.39,mp-1202266,C1c1
In2(Se2O5)3,-1.39,mp-30325,P1c1
Cs6Fe2O5,-1.4,mp-1105876,C1m1
Na2(CO3)(H2O)10,-1.4,mp-699482,C1c1
ZrN,-1.41,mp-13126,P6₃mc
Cd(OH)Cl,-1.42,mp-644222,P6₃mc
CrO(OH)(H2O)2,-1.43,mp-1226463,P1m1
K(NO3),-1.43,mp-6920,R3m
EuY(Si4N7),-1.43,mp-22517,P6₃mc
CrO(OH)(H2O)2,-1.43,mp-1226463,P1m1
((Nb3SBr3)Br4),-1.44,mp-29057,P3m1
BaY(Si4N7),-1.44,mp-11670,P6₃mc
Ce3(Si6N11),-1.45,mp-541712,P4bm
SrY(Si4N7),-1.45,mp-6606,P6₃mc
Ga2(SeO3)3(H2O)3,-1.46,mp-542464,R3c
(Mg(H2O)6)2(MnCl6),-1.46,mp-729389,P31c
CsCuCl3,-1.46,mp-567366,P6₃mc
NaYI4O12,-1.46,mp-581868,C1c1
Bi(CoO3),-1.47,mp-545522,P4mm
NH4(F(HF)3),-1.47,mp-28123,R3c
TbSe,-1.47,mp-10645,P6₃mc
Cu3(OH)2(V2O7)(H2O)2,-1.48,mp-1204591,C1c1
Pr3(Si6N11),-1.48,mp-16929,P4bm
In2Cu2O5,-1.48,mp-21617,Pna2_1
Pr(BN2),-1.49,mp-9028,R3c
ZnO,-1.49,mp-2133,P6₃mc
LiNiO2,-1.5,mp-25411,R3m
Sm3(Si6N11),-1.5,mp-16995,P4bm
Cs(GeBr3),-1.5,mp-642739,C1m1
PdF4,-1.5,mp-663300,C1c1
LaN,-1.5,mp-567290,P6₃mc
PdF4,-1.5,mp-663300,C1c1
La(IO3)3,-1.51,mp-566599,C1c1
NaK(TeO3)(H2O)3,-1.51,mp-1192905,P31c
SmSe,-1.51,mp-10643,P6₃mc
DySe,-1.51,mp-7132,P6₃mc
CsLi3I4,-1.51,mp-1184020,P1m1
Rb4(CO4),-1.51,mp-551267,C1m1
La(IO3)3,-1.51,mp-566599,C1c1
(NH4)2(VO)(V2O7),-1.52,mp-765962,P4bm
RbTiS2,-1.52,mp-16318,R3m
Hg4OF6,-1.52,mp-31132,P6₃mc
NaZn(OH)3,-1.53,mp-695960,P4₂bc
CuScS2,-1.53,mp-6980,P3m1
KNiCl3,-1.53,mp-27366,P6₃cm
Na2(HPO3)(H2O)5,-1.54,mp-720570,Pmn2_1
FeO(OH),-1.54,mp-510670,Pmn2_1
Cs2PbO3,-1.54,mp-21521,Cmc2_1
Rb4(CO4),-1.55,mp-551437,C1m1
SrK(AsO4)(H2O)8,-1.55,mp-703559,I4₁md
Al2(SeO3)3(H2O)6,-1.55,mp-740731,P31c
Na6ZnO4,-1.55,mp-7664,P6₃mc
Rb2(PbO3),-1.55,mp-21489,Cmc2_1
Na4(CO4),-1.56,mp-645295,C1m1
ZnCl2,-1.56,mp-22889,Pna2_1
Na4(CO4),-1.56,mp-645295,C1m1
Na2MnO4,-1.57,mp-28186,P6₃mc
Li3VO4(H2O)8,-1.58,mp-1198234,P1c1
AlN,-1.58,mp-661,P6₃mc
RbMnBr3,-1.58,mp-568231,P6₃cm
AlN,-1.58,mp-661,P6₃mc
POCl3,-1.58,mp-27277,Pna2_1
K6MgO4,-1.59,mp-12171,P6₃mc
