formula,formation energy,Mpid,SpaceGroup
LiB3O5,-2.819,mp-3660,Pna2_1
Li3B5(HO5)2,-2.599,mp-707105,P4_12_12
Li3B5(HO5)2,-2.6,mp-1199091,P4_32_12
BPH4NO4F,-1.982,mp-1195775,P2_13
B(HO)3,-1.925,mp-759069,P3_2
YB6(HO4)3,-2.728,mp-1178731,R3c
Li2B4O7,-2.813,mp-4779,I4_1cd
Cs2Sr2Li3B3(PO4)6,-2.917,mp-1019609,P2_13
NaLiB4O7,-2.79,mp-553926,Fdd2
Mg3B7ClO13,-2.918,mp-23617,F-43c
CaB3HO6,-2.848,mp-1194867,Pna2_1
NaB5(H2O5)2,-2.406,mp-721294,P2_1/c
RbB5(H2O3)4,-1.138,mp-721194,Aea2
LiB(S2O7)2,-2.056,mp-1020060,P2_12_12_1
BaBPO5,-3.127,mp-15840,P3_121
NaB(HO)4,-1.884,mp-707419,P2_1/c
SrLi(B3O5)3,-2.938,mp-18495,R3c
B5H12NO12,-1.913,mp-703444,Aea2
Mg3B7ClO13,-2.916,mp-23087,Pca2_1
Al4(B2O5)3,-3.093,mp-31408,R3
Sr3B6O11F2,-3.239,mp-1202821,P2_1
BaBPO5,-3.127,mp-6040,P3_221
NaSiBO4,-2.925,mp-556740,P6_3
CsB9O14,-2.839,mp-680683,P222_1
YBe2B5O11,-3.102,mp-1020740,Pna2_1
BaLi(B3O5)3,-2.952,mp-17672,R3c
Ba2B6H4O13,-2.663,mp-1199077,P2_1
SrBPO5,-3.131,mp-6486,P3_121
CaB8H4O15,-2.633,mp-23701,P2_1
Ca(BO2)2,-3.121,mp-556826,Pna2_1
MgB2H6O7,-2.057,mp-706910,P4_2/n
Sr2B5ClO9,-3.079,mp-557330,Pnn2
Na2B4O7,-2.735,mp-1020142,P3_221
NaBe(BO2)3,-2.852,mp-1020624,Pna2_1
KSi2BO6,-3.064,mp-1019889,P2_12_12_1
Ca2B5BrO9,-2.985,mp-554056,Pnn2
Na5B(SO4)4,-2.291,mp-1020599,P2_12_12_1
Ca2SiB2O7,-3.258,mp-752851,P-42_1m
Ba3B6O11F2,-3.218,mp-1195844,P2_1
SrB4O7,-3.024,mp-1020670,P3
Na5B(SO4)4,-2.292,mp-1197581,Pca2_1
BaNa(B3O5)3,-2.944,mp-17864,R3c
RbB3O5,-2.814,mp-29756,P2_12_12_1
Ba2B5ClO9,-3.064,mp-555742,Pnn2
BAsO4,-2.143,mp-3277,I-4
Mg5B3O9F,-3.094,mp-560026,Pnma
Na3B6ClO10,-2.723,mp-1195615,P2_12_12_1
K3B6ClO10,-2.766,mp-1189091,R3m
CaBPO5,-3.097,mp-6667,P3_121
K3B6BrO10,-2.72,mp-23612,R3m
RbNa2B6ClO10,-2.738,mp-1194580,P2_12_12_1
KLiB4O7,-2.809,mp-6648,P2_12_12_1
Na5B2P3O13,-2.698,mp-557836,P2_1
K5B(SO4)4,-2.347,mp-1019797,P4_1
Cs2Li3B3P6(PbO12)2,-2.698,mp-1196318,P2_13
LiGeBO4,-2.504,mp-8873,I-4
Ca2B2O5,-3.253,mp-1019560,P2_12_12_1
KBe2B3O7,-2.902,mp-1019809,Pmn2_1
RbLiB4O7,-2.805,mp-6787,P2_12_12_1
CsGeB3O7,-2.657,mp-558804,Pna2_1
Na2B5H5O11,-2.321,mp-720593,Pna2_1
RbGeB3O7,-2.652,mp-1199892,Pna2_1
Rb2GaB5(H4O7)2,-2.191,mp-1201112,C222_1
Al5BO9,-3.376,mp-3281,Cmc2_1
BAsH4NO4F,-1.673,mp-1191775,Cc
RbBe2B3O7,-2.899,mp-1020621,Pmn2_1
Sr6B(PO4)5,-3.26,mp-6044,I-4c2
K6Al4Si6BH4ClO24,-2.889,mp-1199737,P-42_1c
CaAlBO4,-3.332,mp-559759,Ccc2
CsLi(B3O5)2,-2.853,mp-1200805,P222_1
Ba3B6H2O13,-2.904,mp-1199009,Pc
Sr4B14O25,-3.055,mp-559330,Cmc2_1
Cs2Li3(BO2)5,-2.7,mp-966802,C222_1
Ba3Sr4B3O9F5,-3.52,mp-1182538,P6_3mc
Na3B3(HO2)4,-2.224,mp-1203588,Cc
K2Al2B2O7,-3.003,mp-560217,P321
BAsO4,-2.096,mp-11654,P3_121
Ca5B3O9F,-3.39,mp-6632,Cm
Cs3Li4(BO2)7,-2.708,mp-1019615,P3_121
Na3B5(HO5)2,-2.531,mp-722369,Pca2_1
Ba4NaAl2B8(ClO6)3,-3.089,mp-1204585,P4_2nm
RbMgBO3,-2.774,mp-1020633,P2_13
CsNa2Be6(BO3)5,-2.895,mp-866613,C2
AlB5H16(NO7)2,-1.831,mp-1200079,C222_1
KMgBO3,-2.795,mp-1191101,P2_13
B4PbO7,-2.656,mp-9747,Pmn2_1
Rb5Li6(BO2)11,-2.698,mp-1020620,C2
BaBAsO5,-2.637,mp-9784,P3_121
BPPbO5,-2.556,mp-21266,P3_121
KBS4(ClO3)4,-1.868,mp-560423,Cc
Rb2Al2B2O7,-2.988,mp-559284,P2_1/c
Rb2GeB4O9,-2.656,mp-1020707,P2_1
Sr5B3ClO9,-3.23,mp-555203,C222_1
K2B5H5O11,-2.336,mp-707775,Pna2_1
B2Se2O7,-1.914,mp-558521,P2_12_12_1
TlB3O5,-2.594,mp-29155,P2_12_12_1
Ba3Y(BO3)3,-3.304,mp-6310,P6_3cm
Rb3Y2(BO3)3,-3.031,mp-556206,Pna2_1
CsBa(BO2)3,-2.923,mp-556936,P321
SrAl2B2O7,-3.273,mp-15939,R32
K2SrB8(HO)28,-1.944,mp-1198667,Pna2_1
Rb4Ge3B6O17,-2.557,mp-1020896,Cc
BaB8O13,-2.953,mp-27794,P4_122
K2Ga2B2O7,-2.537,mp-561525,P321
Ba5B3BrO9,-3.104,mp-1199246,C222_1
Ba5B3ClO9,-3.172,mp-1201345,C222_1
Ba3Sc(BO3)3,-3.291,mp-14972,P6_3cm
Na4Ga3Ge3B(HO3)4,-1.856,mp-1203580,P-43n
BAsPbO5,-2.083,mp-22430,P3_1
Ba5B4O11,-3.159,mp-3974,P2_12_12_1
Ca10Ge16(B2O17)3,-2.642,mp-1019569,Pba2
K2B4H8O11,-2.117,mp-721901,P2_12_12_1
Ba4NaAl2B8(BrO6)3,-2.996,mp-1197875,P4_2nm
B5Pb2BrO9,-2.513,mp-23623,Pnn2
Sr5B3BrO9,-3.157,mp-560233,C222_1
CaGaBO4,-2.919,mp-557855,Ccc2
Ba3B3Pb2ClO9,-2.772,mp-1195317,C222_1
Ba3B3Pb2BrO9,-2.714,mp-1194742,C222_1
K2LiBO3,-2.356,mp-557632,C2
SnB4O7,-2.625,mp-13252,Pmn2_1
Ba4NaGa2B8(BrO6)3,-2.834,mp-1195423,P4_2nm
B5Pb2IO9,-2.469,mp-1200548,Pnn2
SrGaBO4,-2.91,mp-1197916,P2_12_12_1
TlBO2,-2.204,mp-28244,P4_1
SrBi2B2O7,-2.507,mp-558323,P6_3/m
B6Pb3O11F2,-2.557,mp-1197284,P2_1
RbB6S2(Cl3O2)2,-1.39,mp-1201123,Pna2_1
Ba3BPO7,-3.22,mp-554479,P6_3mc
LiGeBO4,-2.302,mp-549308,Fmm2
Ba2CoGe2O7,-2.523,mp-1190827,P-42_1m
Sr2CoGe2O7,-2.543,mp-1191317,P-42_1m
Na2CoGeO4,-1.952,mp-20161,Pmn2_1
Ba2CuGe2O7,-2.394,mp-22067,P-42_1m
Sr2CuGe2O7,-2.402,mp-17265,P-42_1m
Nd2Cu(GeO4)2,-2.665,mp-558708,Cm
Dy2Be2GeO7,-3.298,mp-20778,P-42_1m
Er2Be2GeO7,-3.301,mp-14420,P-42_1m
Er2Ge2O7,-3.086,mp-13643,P4_12_12
Ba2FeGe2O7,-2.583,mp-1190820,P-42_1m
Gd2Be2GeO7,-3.261,mp-650715,P-42_1m
Gd13Ge6O31F,-3.337,mp-651087,R3
Ho2Ge2O7,-3.079,mp-560082,P4_12_12
Ba2MnGe2O7,-2.627,mp-1192147,P-42_1m
Sr2MnGe2O7,-2.636,mp-22458,P-42_1m
Mn4Be3Ge3SeO12,-2.285,mp-21535,P-43n
Mn4Be3Ge3SO12,-2.325,mp-21616,P-43n
BaNaNd(GeO3)3,-2.643,mp-14353,P2_12_12_1
Na5Nd4Ge4O16F,-2.805,mp-1192544,I-4
Li2NiGe3O8,-2.098,mp-21650,P4_332
Na5Pr4Ge4O16F,-2.794,mp-1192433,I-4
Pr2Be2GeO7,-3.234,mp-14415,P-42_1m
Sm2Be2GeO7,-3.269,mp-14416,P-42_1m
Tb2Ge2O7,-3.066,mp-14649,P4_12_12
Tm2Ge2O7,-3.097,mp-14708,P4_12_12
Rb3U3Ge2O13,-3.009,mp-557381,P-62c
Zr3GeO8,-3.396,mp-27888,I-42m
RbNb(GeO3)3,-2.406,mp-540633,P-6c2
KTa(GeO3)3,-2.493,mp-540631,P-6c2
RbTa(GeO3)3,-2.497,mp-540632,P-6c2
TaTl(GeO3)3,-2.349,mp-540634,P-6c2
K3Nb3Ge2O13,-2.636,mp-541626,P-62m
KTaGeO5,-2.747,mp-14377,Pna2_1
Ga2Ge4Pb3O14,-2.013,mp-636461,P321
GePb3O5,-1.734,mp-559144,P2_1
Ge(Bi3O5)4,-1.708,mp-23352,I23
GeBi2O5,-1.876,mp-23446,Cmc2_1
SrGePbO4,-2.393,mp-1192743,P2_12_12_1
BaGePbO4,-2.359,mp-1192417,P2_12_12_1
Ge3Pb5O11,-1.83,mp-557667,P-6
Ge3(SbO3)4,-1.944,mp-1201722,I-43d
Ge3(BiO3)4,-1.942,mp-23560,I-43d
NaGeSbO5,-2.059,mp-8341,Pna2_1
KGeSbO5,-2.108,mp-14352,Pna2_1
RbGeSbO5,-2.096,mp-6639,Pna2_1
Ba2ZnGe2O7,-2.59,mp-1190949,P-42_1m
Sr2ZnGe2O7,-2.611,mp-17392,P-42_1m
Ca2ZnGe2O7,-2.576,mp-18596,P-42_1m
K2ZnGeO4,-2.043,mp-6386,Pca2_1
Cd2Ge7O16,-2.009,mp-29213,P-4b2
Cd12Ge17(B4O29)2,-2.102,mp-1204954,P-4
Zn2Ge3O8,-2.028,mp-27843,P4_332
Li2Ge2O5,-2.255,mp-7998,Ccc2
LaGeBO5,-3.014,mp-19957,P3_1
Ba3Ga2(Ge2O7)2,-2.539,mp-554139,P321
LaNiSi,-0.702,mp-7030,I4₁md
PrRhGe3,-0.704,mp-13072,I4mm
PtGeSe,-0.708,mp-20817,Pca2_1
SnS2,-0.709,mp-9984,P6₃mc
AlGeLa,-0.713,mp-11511,I4₁md
Li8SeN2,-0.72,mp-973793,I4₁md
CeNiSi,-0.721,mp-20710,I4₁md
MnS,-0.721,mp-2562,P6₃mc
CeRuSi3,-0.723,mp-13120,I4mm
Tl(ClO3),-0.723,mp-29738,R3m
AgCrS2,-0.727,mp-4182,R3m
SeBr4,-0.737,mp-651332,P31c
(N2H5)(Co(NHNH2COO)3)(H2O),-0.741,mp-744002,C1c1
BiCo3(CO)9,-0.745,mp-562048,P6₃mc
(NH4)HgI3(H2O),-0.745,mp-976118,C1c1
CeAuGe,-0.747,mp-4219,P6₃mc
Cu2In2SiS6,-0.752,mp-558055,C1c1
LuAuSn,-0.752,mp-13302,P6₃mc
GaCl3((CH3)3PO),-0.755,mp-1198682,C1c1
Ga2I4,-0.761,mp-570738,R3c
Cu2Cd(SiS4),-0.761,mp-6449,Pmn2_1
LaRhGe3,-0.762,mp-13123,I4mm
(MnIn)GaS4,-0.762,mp-1221817,R3m
Ag2In2SiS6,-0.763,mp-558407,C1c1
K8(B12(BSe3)6),-0.763,mp-680747,C1m1
Cu(CrS2),-0.769,mp-5862,R3m
NaMnSe2,-0.772,mp-10232,P3m1
TmAuSn,-0.781,mp-16741,P6₃mc
Na4As4Se8,-0.784,mp-984519,P1c1
BaAs2,-0.787,mp-31243,P1c1
Ga2Se2Te,-0.788,mp-28423,I4₁md
InN,-0.788,mp-22205,P6₃mc
(C3Cl3S2)(MoOCl4),-0.788,mp-555254,P1c1
LiAsSe2,-0.79,mp-1078724,C1c1
ErAuSn,-0.796,mp-13303,P6₃mc
TiS3,-0.801,mp-559374,R3m
LiMnSe2,-0.803,mp-10231,P3m1
YAuSi,-0.804,mp-9025,P6₃mc
Ag5Pb2O6,-0.807,mp-555565,P31m
DyAuSn,-0.818,mp-31414,P6₃mc
Cd4SiSe6,-0.818,mp-17791,C1c1
HoAuGe,-0.822,mp-5519,P6₃mc
GaSe,-0.827,mp-568263,P6₃mc
TbAuSn,-0.827,mp-31413,P6₃mc
AuDyGe,-0.829,mp-22149,P6₃mc
PrAuSn,-0.83,mp-31412,P6₃mc
NdAuSn,-0.834,mp-5646,P6₃mc
Cs4(Au6S5),-0.845,mp-1104686,P31m
In2ZnS4,-0.848,mp-560262,P6₃mc
Zn(InS2)2,-0.849,mp-560262,P6₃mc
PrPt3B,-0.85,mp-11596,P4mm
In2ZnS4,-0.85,mp-560262,P6₃mc
CdSe,-0.854,mp-1070,P6₃mc
LiAsS2,-0.859,mp-555874,C1c1
NdPt3B,-0.867,mp-11597,P4mm
CdI2,-0.872,mp-28248,P6₃mc
Zn2In2S5,-0.872,mp-560806,P6₃mc
CdI2,-0.872,mp-570089,P6₃mc
CePt3B,-0.876,mp-22435,P4mm
CdS,-0.884,mp-672,P6₃mc
Co(MoS2)2,-0.885,mp-1193597,C1c1
Fe(MoS2)2,-0.89,mp-542189,C1c1
KCu2EuTe4,-0.891,mp-624928,P4mm
TlFeBr3,-0.9,mp-568553,P6₃cm
RbSnS2,-0.913,mp-7795,R3m
K2(Sn2Se4),-0.916,mp-571016,I4cm
PtO2,-0.923,mp-7868,P6₃mc
(NO)(ClF4),-0.931,mp-556500,I4cm
(C(NH2)3)2(PO3F),-0.932,mp-698449,C1m1
AgAlS2,-0.938,mp-7885,P3m1
KSnS2,-0.943,mp-7794,R3m
ZnSe,-0.946,mp-380,P6₃mc
Tl(Nb2(PS4)(S2)3),-0.954,mp-560847,P1c1
PbI2,-0.955,mp-567503,P6₃mc
CdInAlS4,-0.967,mp-1228978,R3m
Lu(ClO4)3,-0.977,mp-29789,R3c
Zn(((OH)CH2)SO2)2,-0.979,mp-698301,C1c1
Tl(IO3),-0.982,mp-22981,R3m
MoSe2,-0.988,mp-7581,R3m
Cd(NO3)2,-0.998,mp-27198,Pca2_1
Tl(CoCl3),-1.01,mp-567430,P6₃cm
CaPtAs,-1.02,mp-28340,I4₁md
K3((Nb2Se2)(Se2)3(AsSe3)),-1.03,mp-542545,C1c1
Cs2Ti2(P2S8)(PS4)2,-1.04,mp-645687,C1c1
H4NF,-1.04,mp-730190,R3c
Cs2Ti2(P2S8)(PS4)2,-1.04,mp-645687,C1c1
Rb3((Nb2Se2)(Se2)3(AsSe3)),-1.04,mp-683902,C1c1
HBr(H2O),-1.05,mp-625509,R3m
Na6(CoSe4),-1.05,mp-3017,P6₃mc
ZnS,-1.06,mp-561286,P6₃mc
Cs3((Nb2Se2)(Se2)3(AsSe3)),-1.06,mp-683903,C1c1
K(BrO3),-1.07,mp-22958,R3m
Rb(BrO3),-1.07,mp-28872,R3m
H4NF,-1.07,mp-23794,P6₃mc
GaMo4S8,-1.08,mp-559694,R3m
Cs(BrO3),-1.08,mp-28873,R3m
Li(BrO4)(H2O)3,-1.08,mp-23985,P6₃mc
(N(CH3)4)Zn(HPO4)(H2PO4),-1.08,mp-849786,P1c1
Cs(Nb2(PS4)(S2)3),-1.09,mp-641699,P1c1
Rb(Nb2(PS4)(S2)3),-1.09,mp-6708,P1c1
K3SbSe4,-1.09,mp-8704,R3c
Na6CoS4,-1.09,mp-5481,P6₃mc
K2S3,-1.09,mp-7667,"
Cmc2_1"
Cs(Nb2(PS4)(S2)3),-1.09,mp-641699,P1c1
EuPtAs,-1.1,mp-20732,I4₁md
Cs(GeI3),-1.1,mp-28377,R3m
K6(CoSe4),-1.1,mp-14795,P6₃mc
Na6(FeS4),-1.1,mp-9266,P6₃mc
((C2H5)NH3)(C2O4)2(Fe2(OH)Cl2)(H2O)2,-1.11,mp-744001,C1c1
K6(CoS4),-1.11,mp-14794,P6₃mc
Rb3(Zr2P5S18),-1.11,mp-561527,C1c1
InCl,-1.12,mp-571636,Cmc2_1
PCl4TeCl5,-1.12,mp-644827,Ima2
Cs3(Zr2P5S18),-1.12,mp-1204981,C1c1
(Fe(C2O4))(CH3OH),-1.13,mp-559328,P1c1
PrIrP,-1.13,mp-12921,I4₁md
(Hg3)3(AsO4)4,-1.13,mp-541164,R3c
TaSe2,-1.13,mp-7834,R3m
RbVI3,-1.13,mp-672346,P6₃cm
Cs3Hf2(P2S7)2(PS4),-1.13,mp-1197320,C1c1
C4H3NaO5,-1.14,mp-1193570,P1c1
KClO3,-1.14,mp-550506,R3m
C4H3NaO5,-1.14,mp-1193570,P1c1
Li2ZnSnS4,-1.15,mp-555186,P1c1
Rb(ClO3),-1.15,mp-23011,R3m
K6HgS4,-1.15,mp-5114,P6₃mc
LaRhAs,-1.16,mp-10956,I4₁md
NbSe2,-1.16,mp-7597,R3m
LiH6ClO7,-1.17,mp-23797,P6₃mc
Nd1Pt1Sb1,-1.17,mp-15839,P6₃mc
NdPtSb,-1.17,mp-15839,P6₃mc
RbInI4,-1.18,mp-28198,R3c
NdPdAs,-1.18,mp-8950,P6₃mc
SmPdAs,-1.18,mp-8951,P6₃mc
K2(Ni(NO3)4),-1.19,mp-556059,C1c1
K6Fe2O5,-1.19,mp-36915,C1m1
Na6(MnS4),-1.19,mp-5055,P6₃mc
K2(Ni(NO3)4),-1.19,mp-556059,C1c1
K6Fe2O5,-1.19,mp-36915,C1m1
LaIrP,-1.2,mp-12919,I4₁md
MoS2,-1.2,mp-1434,R3m
CeIrP,-1.21,mp-12920,I4₁md
Na(OCN),-1.21,mp-546500,R3m
Li(N2H5)(SO4),-1.21,mp-504426,Pna2_1
RbTiI3,-1.22,mp-27812,P6₃cm
Na6ZnS4,-1.22,mp-8389,P6₃mc
MgAl2Se4,-1.23,mp-9479,R3̅m
La14(C2)7Cl9,-1.25,mp-570240,P1c1
BaBi2O2I2,-1.26,mp-1228023,I4mm
Cs2(W6Cl8Br6),-1.26,mp-582076,P31c
Tl10Sb2O10,-1.26,mp-27220,Cmc2_1
((NH3)4Ru(SO2)(CF3COO))(CF3COO)(CF3COOH),-1.26,mp-1203926,C1c1
Ba(B2S4),-1.27,mp-30126,C1c1
Ta4S9Br8,-1.28,mp-559724,I4mm
H2O,-1.28,mp-673658,Cmc2_1
CoO,-1.28,mp-19128,P6₃mc
CdBr2,-1.29,mp-27934,P6₃mc
Li6(PS4)(SI),-1.3,mp-950995,C1c1
Si3N4,-1.3,mp-2245,P31c
Cu6Al(SO4)(OH)12Cl(H2O)3,-1.31,mp-1201631,P31c
BN,-1.32,mp-2653,P6₃mc
Ba3Fe3Se7,-1.32,mp-567429,P6₃mc
LiMnH6O7,-1.32,mp-23785,P6₃mc
BN,-1.32,mp-13150,R3m
(Mn(NH2(CH2PO3H)(CH2PO3)))(H2O),-1.32,mp-1204234,C1c1
(SnCl4(H2O)2)(H2O)2,-1.32,mp-1198797,C1c1
N10Si7Sr1,-1.32,mp-570598,P1c1
Pb2Cu(OH)4Cl2,-1.33,mp-643378,P4mm
Ca(IO3)2(H2O)6,-1.34,mp-758253,Fdd2
NbS2,-1.35,mp-966,R3m
Fe2(SeO3)3(H2O)3,-1.35,mp-1178328,R3c
K6CdO4,-1.35,mp-17161,P6₃mc
Ag8W4O16,-1.35,mp-637188,Pnn2
PrAlGe,-0.683,mp-10450,I4₁md
CoO2,-0.425,mp-1062643,Fmm2
BaPdGe3,-0.57,mp-1068447,I4mm
SrNiSi3,-0.407,mp-1069139,I4mm
BaIrGe3,-0.525,mp-1069708,I4mm
BaPdSi3,-0.436,mp-1070137,I4mm
BaRhGe3,-0.563,mp-1070247,I4mm
InSe,-0.176,mp-1079260,P6̅m2
Nd7Ni3,-0.198,mp-1105619,P6₃mc
AgCeGe,-0.506,mp-11215,P6₃mc
LiBeSb,-0.308,mp-1172873,R3m
GaN,-0.368,mp-1181864,P6₃mc
GaN,-0.657,mp-1181864,P6₃mc
Li8TeN2,-0.677,mp-1190809,I4₁md
LaNi5H7,-0.321,mp-1192500,P31c
K(HC(NO)2)(OC2H4)6,-0.442,mp-1196190,P1c1
(NH4)CS2(NH2),-0.384,mp-1197136,Pca2_1
((CH3)2NH2)3(Sb2Cl9),-0.594,mp-1198102,P1c1
CH2(AsCl2)2,-0.692,mp-1198214,C1c1
CH2(AsCl2)2,-0.692,mp-1198214,C1c1
((CH3)4N)(Ag(Se5)),-0.231,mp-1200633,C1c1
(Y(CO(NH(CH3))2)3)(NO3)3,-0.651,mp-1201093,C1c1
(C(NH2)2(NHOH))(N3O4),-0.423,mp-1203136,P1c1
(N2H5)4Ge2Se6,-0.349,mp-1205224,I4₁cd
(LiMo)N2,-0.672,mp-1211056,R3m
SrAuIn3,-0.419,mp-1218236,I4mm
CuH,0.0486,mp-1225705,P3̅m1
AuCd,-0.16,mp-1226718,P6̅m2
NNaSn,-0.202,mp-12433,P6₃mc
AuErGe,-0.575,mp-12563,P6₃mc
SmCuSn,-0.599,mp-12791,P6₃mc
SmAlSi,-0.634,mp-12804,I4₁md
CeRhGe3,-0.689,mp-13121,I4mm
CeIrGe3,-0.656,mp-13122,I4mm
LaAgPb,-0.503,mp-13406,P6₃mc
CeAgPb,-0.353,mp-13407,P6₃mc
NdCoGe3,-0.567,mp-14625,I4mm
CrWN2,-0.466,mp-15226,R3m
NiS,-0.521,mp-1547,R3m
NiS,-0.611,mp-1547,R3m
NiSe,-0.523,mp-15651,R3m
HoCuPb,-0.38,mp-16750,P6₃mc
ErCuPb,-0.371,mp-16751,P6₃mc
LuCuPb,-0.332,mp-16753,P6₃mc
Cs2Hg6S7,-0.631,mp-17905,P4₂nm
Hg4SiS6,-0.538,mp-17948,C1c1
Fe3Th7,-0.123,mp-18014,P6₃mc
LiSnTm,-0.624,mp-18189,P6₃mc
Hg4SiSe6C1c1,-0.513,mp-18230,C1c1
Ni5P4,-0.477,mp-1920,P6₃mc
PrAgPb,-0.461,mp-19712,P6₃mc
LaFeGe3,-0.53,mp-19743,I4mm
CoGe3La,-0.618,mp-19973,I4mm
TiCuSn,-0.222,mp-19983,P6₃mc
TbCuPb,-0.397,mp-20290,P6₃mc
AgLaGe,-0.646,mp-20568,P6₃mc
SmCuPb,-0.405,mp-20637,P6₃mc
TmCuPb,-0.357,mp-20663,P6₃mc
CeFeGe3,-0.505,mp-20722,I4mm
LiPdSi3,0.0661,mp-20747,I4mm
NdCuSn,-0.587,mp-20774,P6₃mc
InN,-0.0788,mp-20812,Fm3̅m
CuPbY,-0.405,mp-20865,P6₃mc
NdAgPb,-0.457,mp-20880,P6₃mc
CeCoGe3,-0.577,mp-21116,I4mm
DyAgSn,-0.593,mp-21198,P6₃mc
GdCuSn,-0.597,mp-21436,P6₃mc
HfCoGa2,-0.511,mp-21660,I4mm
DyCuSn,-0.602,mp-22188,P6₃mc
BaPtGe3,-0.632,mp-22346,I4mm
CeCuSn,-0.478,mp-22683,P6₃mc
BiTeI,-0.67,mp-22965,P3m1
(Os(NO)(NH3)4Cl)Cl2,-0.7,mp-24461,I4mm
Au2O3,-0.459,mp-27253,Fdd2
Be(BH4)2,-0.244,mp-27344,I4₁cd
Li5NaSn4,-0.256,mp-27368,R3m
Pb9As4S15,-0.573,mp-27594,R3m
Sr6(Cu2N3)(CuN2),-0.615,mp-29136,P4₂mc
Au(CN),0.251,mp-29196,P6mm
CuAsSe2,-0.262,mp-29643,R3m
Si3Ir,0.119,mp-29663,P6₃/mmc
Tl(BrO3),-0.662,mp-29798,R3m
CNI,0.284,mp-30068,R3m
Al51Ca4Cr7,-0.167,mp-30174,P3̅m1
HfNiGa2,-0.542,mp-30269,I4mm
Au3Sr7,-0.535,mp-30422,P6₃mc
CaLiSn,-0.561,mp-30477,P3m1
SmAlGe,-0.665,mp-3077,I4₁md
LuMn5,0.176,mp-30770,P6₃mc
Ni3Th7,-0.278,mp-30809,P6₃mc
CaSnZn,-0.517,mp-31160,P6₃mc
Ce7Ru3,-0.273,mp-31164,P6₃mc
Ga9Rh2,-0.345,mp-31312,P1c1
Ba5In4Bi5,-0.664,mp-31407,P4nc
CeAgSn,-0.466,mp-31420,P6₃mc
PrAgSn,-0.621,mp-31421,P6₃mc
TbAgSn,-0.604,mp-31422,P6₃mc
TbAgPb,-0.417,mp-31447,P6₃mc
HoAgPb,-0.389,mp-31449,P6₃mc
KSnAs,-0.396,mp-3481,P6₃mc
KSnSb,-0.398,mp-3486,P6₃mc
AgCrSe2,-0.599,mp-3532,R3m
HoAgSn,-0.582,mp-4311,P6₃mc
NdAgSn,-0.622,mp-4808,P6₃mc
Pr8Ga3Co,-0.312,mp-504742,P6₃mc
LiYSn,-0.679,mp-504790,P6₃mc
NaCu3Te2,-0.349,mp-504928,R3m
DyAgPb,-0.403,mp-510687,P6₃mc
Ag3(AsSe3),-0.297,mp-5145,R3c
(SbI3)(S8)3,-0.52,mp-540656,R3m
Tm8Ga3Co,-0.424,mp-540856,P6₃mc
Ag4Hg(Ge2S7),-0.467,mp-542199,C1c1
Ag4Cd(Ge2S7),-0.538,mp-542200,C1c1
(TeCl4)(S4N4),-0.201,mp-554646,C1c1
Cu6GeWS8,-0.642,mp-557225,P7₃mc
Cu(NCS),-0.0597,mp-559044,P6₃mc
S3N5PF2,-0.389,mp-559593,R3m
CrI2,-0.583,mp-567687,Cmc2_1
Zr2Al3C4,-0.0642,mp-567770,P6₃mc
Sc(AlC)3,-0.346,mp-568400,P6₃mc
Re4Si7,-0.287,mp-568595,C1m1
SiC,-0.203,mp-568619,P3m1
((CH3)3NH)3(Mn2Cl7),-0.483,mp-568698,P6₃mc
Al7(CN)3,-0.684,mp-569102,P6₃mc
CuI,-0.359,mp-569346,P6₃mc
ErAgSn,-0.569,mp-569724,P6₃mc
Al5C3N,-0.375,mp-570079,P6₃mc
Cu8GeSe6,-0.296,mp-570393,P6₃cm
C3N4,0.147,mp-570572,R3m
Cu4Sm2Sn5,-0.244,mp-570702,I4mm
SmAgPb,-0.446,mp-570855,P6₃mc
LaFe5H7,-0.179,mp-570943,P6₃mc
Th7Ir3,-0.663,mp-571094,P6₃mc
YAgSn,-0.612,mp-5729,P6₃mc
Cu3(PSe4),-0.376,mp-5756,Pmn2_1
Cs2(Zn(N3)4),-0.21,mp-579919,Pca2_1
AgI,-0.449,mp-580941,P6₃mc
AgI,-0.495,mp-580941,P6₃mc
FeS,-0.485,mp-616476,P6₃mc
Cu7Te4,-0.0555,mp-624307,P3m1
PrPdIn2,-0.635,mp-637427,I4mm
Ag2In2SiSe6,-0.676,mp-640614,C1c1
Li(BH4),-0.403,mp-644223,P6₃mc
Ag3NSeO3,-0.325,mp-6476,R3c
C(CN)4,0.565,mp-651723,R3c
K3Cu(CN)4,-0.36,mp-6610,R3c
Co,0.118,mp-669382,P6₃mc
Pd8Sb3,-0.297,mp-669525,R3c
GeTe,-0.303,mp-672698,Pm3̅m
K3(Co(CN)6),-0.289,mp-680180,Pbcn
Ta21Te13,-0.413,mp-680343,P6mm
Zn3As2,-0.146,mp-680580,P4₂/nbc
ScAuSn,-0.692,mp-6919,P6₃mc
Cs3((BH2)6S4)Br,-0.7,mp-695929,P6₃mc
NH3BH2CN,-0.388,mp-696210,Pna2_1
((CH3)CO(NH2)),-0.56,mp-697242,R3c
(NH4)(ClO4),-0.646,mp-698084,Pna2_1
K3(VO(CN)5),-0.471,mp-705009,Pna2_1
((CH3)3NH)3(Sb2Cl9),-0.502,mp-709030,P1c1
Ag8(SiS4)S2,-0.397,mp-7614,Pna2_1
